,timestamp,ent,type
15,2024-06-28,MuleSoft middleware,LANG_FRAM
15,2024-06-28,documenting operating procedures,H_SKILL
15,2024-06-28,Understanding technical software integration design specifications,H_SKILL
15,2024-06-28,translating them,H_SKILL
15,2024-06-28,Understanding and analysing a client's organisation/operation and requirements,H_SKILL
15,2024-06-28,technical design,H_SKILL
15,2024-06-28,Bachelor's,REQUIREMENT
15,2024-06-28,Master's degree,REQUIREMENT
15,2024-06-28,2.1,REQUIREMENT
15,2024-06-28,interpersonal,S_SKILL
15,2024-06-28,communicative,S_SKILL
15,2024-06-28,understand complex business processes,H_SKILL
15,2024-06-28,Java,LANG_FRAM
15,2024-06-28,Python,LANG_FRAM
15,2024-06-28,coding,H_SKILL
15,2024-06-28,Relational Databases,LANG_FRAM
15,2024-06-28,SQL,LANG_FRAM
15,2024-06-28,cloud,LANG_FRAM
15,2024-06-28,flexible attitude,S_SKILL
16,2024-06-28,AI,LANG_FRAM
16,2024-06-28,cloud computing,LANG_FRAM
16,2024-06-28,"designing, coding and debugging of applications",H_SKILL
16,2024-06-28,passion,S_SKILL
16,2024-06-28,create technical design specifications,H_SKILL
16,2024-06-28,Understanding and analysing a client's organisation/operation and requirements,H_SKILL
16,2024-06-28,technical design,H_SKILL
16,2024-06-28,Bachelor’s degree,REQUIREMENT
16,2024-06-28,2.1,REQUIREMENT
16,2024-06-28,verbal and written English,S_SKILL
16,2024-06-28,Advanced knowledge,H_SKILL
16,2024-06-28,Java,LANG_FRAM
16,2024-06-28,Python,LANG_FRAM
16,2024-06-28,C#,LANG_FRAM
16,2024-06-28,C/,LANG_FRAM
16,2024-06-28,C++,LANG_FRAM
16,2024-06-28,Go,LANG_FRAM
16,2024-06-28,React,LANG_FRAM
16,2024-06-28,JavaScript,LANG_FRAM
16,2024-06-28,Relational Databases,LANG_FRAM
16,2024-06-28,SQL,LANG_FRAM
16,2024-06-28,cloud,LANG_FRAM
17,2024-06-28,Create cutting edge software,H_SKILL
17,2024-06-28,Driven,S_SKILL
17,2024-06-28,passion,S_SKILL
17,2024-06-28,"-breaking technology, a collaborative culture",H_SKILL
17,2024-06-28,minimum 2:2,REQUIREMENT
17,2024-06-28,Bachelor’s degree,REQUIREMENT
18,2024-06-28,knowledge and cutting-edge technologies,H_SKILL
18,2024-06-28,inquisitive,S_SKILL
18,2024-06-28,developing software for safety-,H_SKILL
18,2024-06-28,software development,H_SKILL
18,2024-06-28,tailor-made software engineering training,H_SKILL
18,2024-06-28,systems design,H_SKILL
18,2024-06-28,architectural design,H_SKILL
18,2024-06-28,coding,H_SKILL
18,2024-06-28,"tailor-made software engineering training, a personal line",H_SKILL
18,2024-06-28,Developing code,H_SKILL
18,2024-06-28,Developing reference models,H_SKILL
18,2024-06-28,communicate ideas,S_SKILL
18,2024-06-28,good organisation skills,S_SKILL
18,2024-06-28,2:1 degree,REQUIREMENT
18,2024-06-28,future planning,H_SKILL
18,2024-06-28,Peppy,LANG_FRAM
18,2024-06-28,Peppy,LANG_FRAM
18,2024-06-28,Shape your path,H_SKILL
18,2024-06-28,AWS,LANG_FRAM
18,2024-06-28,Microsoft,LANG_FRAM
18,2024-06-28,solve problems,S_SKILL
19,2024-06-28,work directly with clients,S_SKILL
19,2024-06-28,analyse data,H_SKILL
19,2024-06-28,collection and structuring of information and utilise a variety of technologies,H_SKILL
19,2024-06-28,ETL process,H_SKILL
19,2024-06-28,designing & managing these automated systems and processes,H_SKILL
19,2024-06-28,implement best practice throughout the organisation,H_SKILL
19,2024-06-28,developing methods,H_SKILL
19,2024-06-28,present and explain complex analysis,S_SKILL
19,2024-06-28,analytical skills,S_SKILL
19,2024-06-28,Independent,S_SKILL
19,2024-06-28,motivated,S_SKILL
19,2024-06-28,MS Office,LANG_FRAM
19,2024-06-28,driven,S_SKILL
19,2024-06-28,work well,S_SKILL
19,2024-06-28,2:1,REQUIREMENT
19,2024-06-28,bachelor’s degree,REQUIREMENT
19,2024-06-28,preferrable,REQUIREMENT
19,2024-06-28,Programming,H_SKILL
19,2024-06-28,python,LANG_FRAM
19,2024-06-28,SQL,LANG_FRAM
19,2024-06-28,Front,LANG_FRAM
19,2024-06-28,End Data,LANG_FRAM
19,2024-06-28,"clean data,",H_SKILL
19,2024-06-28,Create data models,H_SKILL
19,2024-06-28,Produce,S_SKILL
19,2024-06-28,Present your findings,S_SKILL
19,2024-06-28,Work for Ipsos Jarmany,S_SKILL
20,2024-06-28,software innovation,H_SKILL
20,2024-06-28,Define software architecture and prepare related documents,H_SKILL
20,2024-06-28,Develop,H_SKILL
20,2024-06-28,"Integrate embedded software on hardware, including debugging and testing",H_SKILL
20,2024-06-28,BEng,REQUIREMENT
20,2024-06-28,MEng,REQUIREMENT
20,2024-06-28,MSc,REQUIREMENT
20,2024-06-28,C,LANG_FRAM
20,2024-06-28,C++,LANG_FRAM
20,2024-06-28,UML,LANG_FRAM
20,2024-06-28,passionate problem solver,S_SKILL
20,2024-06-28,logical mindset,S_SKILL
21,2024-06-28,managing the implementation of our SystmOne software,H_SKILL
21,2024-06-28,overseeing and planning projects,H_SKILL
21,2024-06-28,solve complex problems,S_SKILL
21,2024-06-28,good communication skills,S_SKILL
22,2024-06-28,coding,H_SKILL
22,2024-06-28,problem solving,S_SKILL
22,2024-06-28,agile development team,H_SKILL
22,2024-06-28,time databases,S_SKILL
22,2024-06-28,AI,LANG_FRAM
22,2024-06-28,iOS,LANG_FRAM
22,2024-06-28,2:1,REQUIREMENT
22,2024-06-28,AAAAA,REQUIREMENT
23,2024-06-28,C,LANG_FRAM
23,2024-06-28,C,LANG_FRAM
23,2024-06-28,C-,LANG_FRAM
23,2024-06-28,interests and competencies in software programming,H_SKILL
23,2024-06-28,interest in mechatronic systems,H_SKILL
23,2024-06-28,Cognex vision systems,LANG_FRAM
23,2024-06-28,time with the rest,S_SKILL
23,2024-06-28,Structured Text,LANG_FRAM
23,2024-06-28,Beckhoff TwinCAT,LANG_FRAM
23,2024-06-28,EtherCAT,LANG_FRAM
23,2024-06-28,tracking development,H_SKILL
23,2024-06-28,GitHub,LANG_FRAM
23,2024-06-28,generating well commented and structured code,H_SKILL
23,2024-06-28,program simple motion control for our loading and unloading solutions,H_SKILL
23,2024-06-28,3,H_SKILL
23,2024-06-28,Python,LANG_FRAM
23,2024-06-28,expand knowledge,S_SKILL
23,2024-06-28,ensure the safe operation of the equipment,H_SKILL
23,2024-06-28,C,LANG_FRAM
23,2024-06-28,understanding of working with customers,S_SKILL
23,2024-06-28,handling their attitudes and needs,S_SKILL
23,2024-06-28,Work with C-Tech team,S_SKILL
23,2024-06-28,SCRUM,H_SKILL
23,2024-06-28,agile methodology,H_SKILL
23,2024-06-28,MS Teams,LANG_FRAM
23,2024-06-28,Work with the C-Tech team,S_SKILL
24,2024-06-28,collaborate,S_SKILL
24,2024-06-28,2:2,REQUIREMENT
25,2024-06-28,collaborate,S_SKILL
25,2024-06-28,business analysis,H_SKILL
25,2024-06-28,systems analysis,H_SKILL
25,2024-06-28,designing and,H_SKILL
25,2024-06-28,deploying,H_SKILL
25,2024-06-28,2:1,REQUIREMENT
25,2024-06-28,AABBBB,H_SKILL
25,2024-06-28,Scottish Higher,REQUIREMENT
26,2024-06-28,work collaboratively,S_SKILL
26,2024-06-28,Microsoft Azure,LANG_FRAM
26,2024-06-28,Develop,H_SKILL
26,2024-06-28,Power Platform,LANG_FRAM
26,2024-06-28,development,H_SKILL
26,2024-06-28,SharePoint,LANG_FRAM
26,2024-06-28,cloud,LANG_FRAM
26,2024-06-28,Power BI,LANG_FRAM
26,2024-06-28,Collaborating,S_SKILL
26,2024-06-28,Microsoft Azure,LANG_FRAM
26,2024-06-28,cloud,LANG_FRAM
26,2024-06-28,database driven solutions,H_SKILL
26,2024-06-28,Writing code,H_SKILL
26,2024-06-28,Python,LANG_FRAM
26,2024-06-28,Javascript,LANG_FRAM
26,2024-06-28,CSS,LANG_FRAM
26,2024-06-28,HTML,LANG_FRAM
26,2024-06-28,JSON &,LANG_FRAM
26,2024-06-28,REST APIs,LANG_FRAM
26,2024-06-28,Comfortable scoping projects,S_SKILL
26,2024-06-28,solve problems,S_SKILL
26,2024-06-28,LUR,LANG_FRAM
26,2024-06-28,passion,S_SKILL
26,2024-06-28,2:1,REQUIREMENT
26,2024-06-28,Power BI,LANG_FRAM
26,2024-06-28,Python,LANG_FRAM
26,2024-06-28,JavaScript,LANG_FRAM
26,2024-06-28,CSS,LANG_FRAM
26,2024-06-28,HTML,LANG_FRAM
26,2024-06-28,JSON &,LANG_FRAM
26,2024-06-28,REST APIs,LANG_FRAM
26,2024-06-28,Microsoft certifications,REQUIREMENT
26,2024-06-28,Microsoft 365,LANG_FRAM
26,2024-06-28,Power Platform,LANG_FRAM
26,2024-06-28,Microsoft Azure,LANG_FRAM
27,2024-06-28,Ability offer,H_SKILL
27,2024-06-28,experience in IT management,H_SKILL
27,2024-06-28,understanding of data security and emerging technologies,H_SKILL
27,2024-06-28,leadership,S_SKILL
27,2024-06-28,management,S_SKILL
27,2024-06-28,problem-,S_SKILL
27,2024-06-28,solving and project management,S_SKILL
27,2024-06-28,communicate effectively,S_SKILL
27,2024-06-28,Bachelor's degree,REQUIREMENT
27,2024-06-28,Ability offers a highly competitive benefits package;,H_SKILL
28,2024-06-28,provide great opportunities for people,H_SKILL
28,2024-06-28,Working with future and emerging technologies,S_SKILL
28,2024-06-28,testing,H_SKILL
28,2024-06-28,Developing,H_SKILL
28,2024-06-28,Java,LANG_FRAM
28,2024-06-28,AWS,LANG_FRAM
28,2024-06-28,Agile methodologies,H_SKILL
28,2024-06-28,related degree,REQUIREMENT
28,2024-06-28,meticulous attention to detail,S_SKILL
28,2024-06-28,analytical skills,S_SKILL
28,2024-06-28,passion,S_SKILL
28,2024-06-28,problem solving,S_SKILL
28,2024-06-28,drive to find appropriate solutions,S_SKILL
28,2024-06-28,problem solving,S_SKILL
29,2024-06-28,Portaltech,LANG_FRAM
29,2024-06-28,Portaltech,LANG_FRAM
29,2024-06-28,SAP,LANG_FRAM
29,2024-06-28,Portaltech,LANG_FRAM
29,2024-06-28,"technical expertise, that allows working with clients",H_SKILL
29,2024-06-28,SAP,LANG_FRAM
29,2024-06-28,2015,LANG_FRAM
29,2024-06-28,Portaltech,LANG_FRAM
29,2024-06-28,SAP,LANG_FRAM
29,2024-06-28,develop and enhance product features,H_SKILL
29,2024-06-28,Java,LANG_FRAM
29,2024-06-28,Selenium,LANG_FRAM
29,2024-06-28,Create and execute regression tests,H_SKILL
